present,p5,ccode,scode,country,polity,persist,bmonth,bday,byear,emonth,eday,eyear,democ,autoc,xrreg,xrcomp,xropen,xconst,parreg,parcomp,exrec,exconst,polcomp
,1,355,BUL,Bulgaria,-7,42,12,5,1947,11,10,1989,0,7,2,1,4,3,4,1,3,3,1
,1,355,BUL,Bulgaria,1,1,11,11,1989,7,31,1990,2,1,2,0,0,4,3,3,5,4,6
,1,355,BUL,Bulgaria,7,1,8,1,1990,1,18,1992,7,0,2,2,4,7,2,3,7,7,7
,1,355,BUL,Bulgaria,8,10,1,19,1992,7,23,2001,8,0,3,3,4,7,2,3,8,7,7
1,1,355,BUL,Bulgaria,9,17,7,24,2001,99,99,9999,9,0,3,3,4,7,2,4,8,7,9
,1,811,CAM,Cambodia,-88,2,11,9,1953,9,10,1955,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
,1,811,CAM,Cambodia,-9,15,9,11,1955,3,18,1970,0,9,3,1,2,1,4,2,2,1,2
,1,811,CAM,Cambodia,-88,2,3,19,1970,7,2,1972,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
,1,811,CAM,Cambodia,-5,3,7,3,1972,4,17,1975,0,5,2,0,0,1,3,2,5,1,3
,1,811,CAM,Cambodia,-77,1,4,18,1975,3,30,1976,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
,1,811,CAM,Cambodia,-7,3,3,31,1976,1,7,1979,0,7,2,0,0,1,4,1,5,1,1
,1,811,CAM,Cambodia,-66,10,1,8,1979,9,26,1989,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66
,1,811,CAM,Cambodia,-88,5,9,27,1989,9,24,1993,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
,1,811,CAM,Cambodia,1,4,9,25,1993,7,5,1997,3,2,2,2,4,3,3,3,7,3,6
,1,811,CAM,Cambodia,-7,1,7,6,1997,11,30,1998,0,7,1,0,0,1,4,1,4,1,1
,1,811,CAM,Cambodia,2,15,12,1,1998,7,28,2013,3,1,2,0,0,4,3,4,5,4,8
,1,811,CAM,Cambodia,2,4,7,29,2013,11,16,2017,3,1,2,0,0,5,3,3,5,5,6
1,1,811,CAM,Cambodia,-4,1,11,17,2017,99,99,9999,0,4,1,0,0,2,3,2,4,2,3
,0,20,CAN,Canada,4,21,7,1,1867,6,30,1888,7,3,3,3,4,7,4,2,8,7,2
,0,20,CAN,Canada,9,33,7,1,1888,12,5,1921,9,0,3,3,4,7,5,4,8,7,
1,0,20,CAN,Canada,10,97,12,6,1921,99,99,9999,10,0,3,3,4,7,5,5,8,7,10
,1,471,CAO,Cameroon,4,7,1,1,1960,8,31,1966,4,0,2,2,4,5,2,0,7,5,5
,1,471,CAO,Cameroon,-7,6,9,1,1966,5,20,1972,0,7,2,1,4,3,4,1,3,3,1
,1,471,CAO,Cameroon,-8,10,5,21,1972,11,5,1982,0,8,2,1,4,2,4,1,3,2,1
,1,471,CAO,Cameroon,-7,2,11,6,1982,4,8,1984,0,7,2,1,4,3,4,1,3,3,1
,1,471,CAO,Cameroon,-9,4,4,9,1984,4,23,1988,0,9,2,1,4,1,4,1,3,1,1
,1,471,CAO,Cameroon,-6,3,4,24,1988,12,18,1990,0,6,2,1,4,2,3,2,3,2,3
,1,471,CAO,Cameroon,-3,2,12,19,1990,10,11,1992,1,4,2,1,4,2,2,3,3,2,7
1,1,471,CAO,Cameroon,-5,26,10,12,1992,99,99,9999,0,5,1,0,0,2,4,2,4,2,2
,1,402,CAP,Cape Verde,-4,10,7,5,1975,12,6,1985,2,6,2,1,4,5,4,1,3,5,1
,1,402,CAP,Cape Verde,-3,4,12,7,1985,2,17,1990,2,5,2,1,4,5,4,2,3,5,2
,1,402,CAP,Cape Verde,-2,1,2,18,1990,3,21,1991,2,4,2,1,4,5,3,2,3,5,3
,1,402,CAP,Cape Verde,8,10,3,22,1991,3,21,2001,8,0,3,3,4,6,2,4,8,6,9
1,1,402,CAP,Cape Verde,10,18,3,22,2001,99,99,9999,10,0,3,3,4,7,5,5,8,7,10
,1,482,CEN,Central African Republic,-7,31,8,13,1960,10,29,1991,0,7,1,0,0,1,4,1,4,1,1
,1,482,CEN,Central African Republic,-6,2,10,30,1991,8,22,1993,0,6,2,0,0,1,4,2,5,1,2
,1,482,CEN,Central African Republic,5,10,8,23,1993,3,17,2003,5,0,2,2,4,5,2,3,7,5,7
,1,482,CEN,Central African Republic,-1,2,3,18,2003,5,8,2005,1,2,1,0,0,2,2,3,4,2,7
,1,482,CEN,Central African Republic,-1,8,5,9,2005,3,24,2013,1,2,2,0,0,3,3,3,5,3,6
,1,482,CEN,Central African Republic,-77,3,3,25,2013,4,10,2016,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
1,1,482,CEN,Central African Republic,6,3,4,11,2016,99,99,9999,7,1,2,2,4,7,3,3,7,7,6
,1,483,CHA,Chad,-3,1,8,11,1960,1,17,1962,0,3,2,1,4,3,2,0,3,3,5
,1,483,CHA,Chad,-8,2,1,18,1962,6,6,1964,0,8,2,1,4,2,4,1,3,2,1
,1,483,CHA,Chad,-9,5,6,7,1964,9,26,1969,0,9,2,1,4,1,4,1,3,1,1
,1,483,CHA,Chad,-6,4,9,27,1969,8,27,1973,0,6,2,1,4,3,4,2,3,3,2
,1,483,CHA,Chad,-8,2,8,28,1973,4,13,1975,0,8,2,1,4,2,4,1,3,2,1
,1,483,CHA,Chad,-7,3,4,14,1975,8,28,1978,0,7,1,0,0,1,4,1,4,1,1
,1,483,CHA,Chad,-88,0,8,29,1978,2,11,1979,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
,1,483,CHA,Chad,-77,6,2,12,1979,12,23,1985,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
,1,483,CHA,Chad,-7,5,12,24,1985,12,1,1990,0,7,1,0,0,1,4,1,4,1,1
,1,483,CHA,Chad,-3,2,12,2,1990,4,8,1993,0,3,2,0,0,3,3,2,5,3,3
,1,483,CHA,Chad,-88,3,4,9,1993,6,2,1996,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
1,1,483,CHA,Chad,-1,23,6,3,1996,99,99,9999,1,2,1,0,0,3,3,3,4,3,6
,0,155,CHL,Chile,-5,34,2,12,1816,12,8,1851,1,6,2,1,4,1,3,3,3,1,6
,0,155,CHL,Chile,0,23,12,9,1851,6,30,1874,3,3,2,2,4,2,3,3,7,2,6
,0,155,CHL,Chile,3,14,7,1,1874,6,30,1888,4,1,2,2,4,4,3,3,7,4,6
,0,155,CHL,Chile,5,3,7,1,1888,9,19,1891,6,1,3,3,4,5,3,3,8,5,6
,0,155,CHL,Chile,3,33,9,20,1891,11,9,1924,5,2,2,1,4,7,2,3,3,7,7
,0,155,CHL,Chile,-88,1,11,10,1924,9,18,1925,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
,0,155,CHL,Chile,-2,10,9,19,1925,6,30,1935,1,3,2,1,4,3,2,3,3,3,7
,1,155,CHL,Chile,2,23,7,1,1935,9,3,1958,3,1,2,2,4,3,2,3,7,3,7
,1,155,CHL,Chile,5,6,9,4,1958,11,2,1964,5,0,3,3,4,4,2,3,8,4,7
,1,155,CHL,Chile,6,9,11,3,1964,9,11,1973,6,0,3,3,4,5,2,3,8,5,7
,1,155,CHL,Chile,-7,7,9,12,1973,3,10,1981,0,7,1,0,0,1,4,1,4,1,1
,1,155,CHL,Chile,-7,2,3,11,1981,8,6,1983,0,7,2,0,0,1,4,1,5,1,1
,1,155,CHL,Chile,-6,5,8,7,1983,10,5,1988,0,6,2,0,0,1,4,2,5,1,2
,1,155,CHL,Chile,-1,1,10,6,1988,12,15,1989,2,3,2,0,0,2,3,4,5,2,8
,1,155,CHL,Chile,8,10,12,16,1989,3,10,2000,8,0,2,2,4,7,2,4,7,7,9
,1,155,CHL,Chile,9,6,3,11,2000,3,10,2006,9,0,3,3,4,7,2,4,8,7,9
1,1,155,CHL,Chile,10,13,3,11,2006,99,99,9999,10,0,3,3,4,7,5,5,8,7,10
,0,710,CHN,China,-6,,1,1,1800,10,12,1860,1,7,3,1,1,1,3,3,1,1,6
,0,710,CHN,China,-66,2,10,13,1860,6,30,1862,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66
,0,710,CHN,China,-6,49,7,1,1862,10,15,1911,1,7,3,1,1,1,3,3,1,1,6
,0,710,CHN,China,-88,0,10,16,1911,3,10,1912,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
,0,710,CHN,China,2,2,3,11,1912,11,4,1913,3,1,1,0,0,5,3,3,4,5,6
,0,710,CHN,China,-88,0,11,5,1913,5,1,1914,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
,0,710,CHN,China,-5,23,5,2,1914,7,7,1937,1,6,2,1,4,1,3,3,3,1,6
,0,710,CHN,China,-66,9,7,8,1937,12,25,1946,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66
,0,710,CHN,China,-5,2,12,26,1946,1,10,1949,1,6,2,1,4,1,3,3,3,1,6
,0,710,CHN,China,-77,1,1,11,1949,9,30,1949,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
,0,710,CHN,China,-8,17,10,1,1949,4,30,1966,0,8,2,1,4,2,4,1,3,2,1
,0,710,CHN,China,-9,3,5,1,1966,4,14,1969,0,9,2,1,4,1,4,1,3,1,1
,0,710,CHN,China,-8,7,4,15,1969,9,9,1976,0,8,2,1,4,2,4,1,3,2,1
1,0,710,CHN,China,-7,42,9,10,1976,99,99,9999,0,7,2,1,4,3,4,1,3,3,1
,0,100,COL,Colombia,2,28,2,29,1832,6,30,1860,4,2,3,3,4,3,3,3,8,3,6
,0,100,COL,Colombia,-77,1,7,1,1860,7,18,1861,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
,0,100,COL,Colombia,-5,6,7,19,1861,5,23,1867,1,6,2,1,4,1,3,3,3,1,6
,0,100,COL,Colombia,8,19,5,24,1867,8,4,1886,8,0,3,3,4,7,2,3,8,7,7
,0,100,COL,Colombia,-3,14,8,5,1886,7,31,1900,1,4,2,1,4,3,3,3,3,3,6
,0,100,COL,Colombia,0,4,8,1,1900,6,30,1904,3,3,2,1,4,5,3,3,3,5,6
,0,100,COL,Colombia,-5,26,7,1,1904,6,30,1930,1,6,2,1,4,1,3,3,3,1,6
,0,100,COL,Colombia,5,18,7,1,1930,4,8,1948,6,1,3,3,4,3,5,5,8,3,10
,0,100,COL,Colombia,-5,9,4,9,1948,7,20,1957,1,6,2,1,4,1,3,3,3,1,6
,0,100,COL,Colombia,7,17,7,21,1957,8,7,1974,7,0,2,2,4,6,2,4,7,6,9
,0,100,COL,Colombia,8,17,8,8,1974,7,5,1991,8,0,3,3,4,6,2,4,8,6,9
,0,100,COL,Colombia,9,4,7,6,1991,11,4,1995,9,0,3,3,4,7,2,4,8,7,9
1,0,100,COL,Colombia,7,23,11,5,1995,99,99,9999,7,0,3,3,4,6,2,3,8,6,7
,1,581,COM,Comoros,4,0,7,6,1975,8,3,1975,4,0,2,2,4,5,2,0,7,5,5
,1,581,COM,Comoros,-5,3,8,4,1975,9,30,1978,0,5,2,1,4,1,2,0,3,1,5
,1,581,COM,Comoros,0,4,10,1,1978,10,23,1982,2,2,2,1,4,5,1,0,3,5,4
,1,581,COM,Comoros,-3,2,10,24,1982,9,29,1984,0,3,2,1,4,3,2,0,3,3,5
,1,581,COM,Comoros,-9,5,9,30,1984,3,20,1990,0,9,2,1,4,1,4,1,3,1,1
,1,581,COM,Comoros,4,5,3,21,1990,9,15,1995,5,1,2,2,4,5,3,3,7,5,6
,1,581,COM,Comoros,-77,0,9,16,1995,3,24,1996,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
,1,581,COM,Comoros,4,3,3,25,1996,4,29,1999,5,1,2,2,4,5,3,3,7,5,6
,1,581,COM,Comoros,-2,1,4,30,1999,8,25,2000,1,3,1,0,0,1,2,3,4,1,7
,1,581,COM,Comoros,-1,1,8,26,2000,12,23,2001,1,2,1,0,0,2,2,3,4,2,7
,1,581,COM,Comoros,0,0,12,24,2001,1,19,2002,2,2,1,0,0,2,2,4,4,2,9
,1,581,COM,Comoros,4,2,1,20,2002,4,24,2004,4,0,2,0,0,5,2,4,5,5,9
,1,581,COM,Comoros,6,2,4,25,2004,5,25,2006,6,0,2,0,0,7,2,4,5,7,9
,1,581,COM,Comoros,9,12,5,26,2006,4,12,2018,9,0,3,3,4,7,2,4,8,7,9
,1,581,COM,Comoros,6,0,4,13,2018,7,29,2018,7,1,3,3,4,5,3,4,8,5,8
1,1,581,COM,Comoros,-3,0,7,30,2018,99,99,9999,0,3,2,1,4,3,3,2,4,3,3
,1,484,CON,Congo-Brazzaville,3,3,8,15,1960,8,15,1963,4,1,2,2,4,4,3,3,7,4,6
,1,484,CON,Congo-Brazzaville,-88,0,8,16,1963,12,8,1963,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
,1,484,CON,Congo-Brazzaville,-7,15,12,9,1963,2,5,1979,0,7,2,1,4,3,4,1,3,3,1
,1,484,CON,Congo-Brazzaville,-8,12,2,6,1979,3,10,1991,0,8,2,1,4,2,4,1,3,2,1
,1,484,CON,Congo-Brazzaville,-88,1,3,11,1991,3,15,1992,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
,1,484,CON,Congo-Brazzaville,5,6,3,16,1992,10,15,1997,6,1,3,3,4,5,3,3,8,5,6
,1,484,CON,Congo-Brazzaville,-6,4,10,16,1997,9,1,2001,0,6,1,0,0,1,4,2,4,1,2
,1,484,CON,Congo-Brazzaville,-5,1,9,2,2001,8,9,2002,0,5,1,0,0,1,3,2,4,1,3
1,1,484,CON,Congo-Brazzaville,-4,16,8,10,2002,99,99,9999,0,4,1,0,0,2,3,2,4,2,3
,1,94,COS,Costa Rica,-4,47,5,28,1838,3,12,1885,0,4,1,0,0,3,4,2,4,3,2
,1,94,COS,Costa Rica,1,5,3,13,1885,5,7,1890,1,0,2,0,0,4,2,0,5,4,5
,1,94,COS,Costa Rica,5,4,5,8,1890,5,7,1894,6,1,2,2,4,5,3,4,7,5,8
,1,94,COS,Costa Rica,8,23,5,8,1894,1,27,1917,8,0,2,2,4,7,2,4,7,7,9
,1,94,COS,Costa Rica,-3,3,1,28,1917,5,7,1920,0,3,2,0,0,3,3,2,5,3,3
,1,94,COS,Costa Rica,5,28,5,8,1920,3,1,1948,6,1,2,2,4,5,3,4,7,5,8
,1,94,COS,Costa Rica,-77,0,3,2,1948,4,23,1948,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
,1,94,COS,Costa Rica,4,2,4,24,1948,11,7,1949,4,0,2,0,0,5,2,4,5,5,9
,1,94,COS,Costa Rica,9,4,11,8,1949,11,7,1953,9,0,2,2,4,7,5,5,7,7,10
1,1,94,COS,Costa Rica,10,65,11,8,1953,99,99,9999,10,0,3,3,4,7,5,5,8,7,10
,1,344,CRO,Croatia,-3,4,6,25,1991,11,11,1995,1,4,2,1,4,3,3,3,3,3,6
,1,344,CRO,Croatia,-5,4,11,12,1995,11,25,1999,0,5,2,1,4,3,3,2,3,3,3
,1,344,CRO,Croatia,-88,1,11,26,1999,11,8,2000,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
,1,344,CRO,Croatia,8,4,11,9,2000,1,1,2005,8,0,2,2,4,7,2,4,7,7,9
1,1,344,CRO,Croatia,9,14,1,2,2005,99,99,9999,9,0,3,3,4,7,2,4,8,7,9
,0,40,CUB,Cuba,3,15,5,20,1902,2,9,1917,4,1,3,3,4,3,2,3,8,3,7
,0,40,CUB,Cuba,-66,0,2,10,1917,5,20,1917,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66
,0,40,CUB,Cuba,3,11,5,21,1917,6,30,1928,4,1,3,3,4,3,2,3,8,3,7
,0,40,CUB,Cuba,1,5,7,1,1928,9,5,1933,4,3,3,3,4,1,2,3,8,1,7
,0,40,CUB,Cuba,3,18,9,6,1933,3,10,1952,4,1,3,3,4,3,2,3,8,3,7
,0,40,CUB,Cuba,-88,3,3,11,1952,6,15,1955,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
,0,40,CUB,Cuba,-9,3,6,16,1955,1,1,1959,0,9,2,1,4,1,4,1,3,1,1
,0,40,CUB,Cuba,-77,1,1,2,1959,1,15,1960,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
,0,40,CUB,Cuba,-88,2,1,16,1960,12,2,1961,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
,0,40,CUB,Cuba,-7,15,12,3,1961,12,31,1976,0,7,1,0,0,1,4,1,4,1,1
,0,40,CUB,Cuba,-7,30,1,1,1977,7,30,2006,0,7,2,0,0,1,4,1,5,1,1
,0,40,CUB,Cuba,-7,12,7,31,2006,4,19,2018,0,7,2,1,4,3,4,1,3,3,1
1,0,40,CUB,Cuba,-5,1,4,20,2018,99,99,9999,1,6,2,1,4,4,4,1,3,4,1
,1,352,CYP,Cyprus,8,3,8,16,1960,12,21,1963,8,0,3,3,4,7,2,3,8,7,7
,1,352,CYP,Cyprus,-77,4,12,22,1963,4,15,1968,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
,1,352,CYP,Cyprus,7,6,4,16,1968,7,15,1974,7,0,3,3,4,6,2,3,8,6,7
,1,352,CYP,Cyprus,-88,0,7,16,1974,2,13,1975,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
1,1,352,CYP,Cyprus,10,44,2,14,1975,99,99,9999,10,0,3,3,4,7,5,5,8,7,10
,1,315,CZE,Czechoslovakia,7,20,10,28,1918,10,9,1938,7,0,3,3,4,7,1,0,8,7,4
,1,315,CZE,Czechoslovakia,-77,0,10,10,1938,3,15,1939,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
,1,315,CZE,Czechoslovakia,-66,6,3,16,1939,5,16,1945,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66
,1,315,CZE,Czechoslovakia,-88,1,5,17,1945,5,26,1946,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
,1,315,CZE,Czechoslovakia,5,2,5,27,1946,2,25,1948,5,0,2,2,4,5,2,3,7,5,7
,1,315,CZE,Czechoslovakia,-7,20,2,26,1948,1,4,1968,0,7,2,1,4,3,4,1,3,3,1
,1,315,CZE,Czechoslovakia,-3,1,1,5,1968,8,20,1968,1,4,2,1,4,4,3,2,3,4,3
,1,315,CZE,Czechoslovakia,-66,1,8,21,1968,1,4,1968,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66
,1,315,CZE,Czechoslovakia,-7,20,9,29,1969,12,9,1989,0,7,2,1,4,3,4,1,3,3,1
,1,315,CZE,Czechoslovakia,-2,0,12,10,1989,6,8,1990,2,4,2,2,4,3,4,2,7,3,2
,1,315,CZE,Czechoslovakia,7,3,6,9,1990,12,31,1992,7,0,2,2,4,7,2,3,7,7,7
,1,316,CZR,Czech Republic,10,13,1,1,1993,6,2,2006,10,0,3,3,4,7,5,5,8,7,10
1,1,316,CZR,Czech Republic,9,13,6,3,2006,99,99,9999,9,0,3,3,4,7,2,4,8,7,9
,0,390,DEN,Denmark,-10,,1,1,1800,6,30,1834,0,10,3,1,1,1,4,1,1,1,1
,0,390,DEN,Denmark,-9,15,7,1,1834,6,5,1849,0,9,3,1,1,1,4,2,1,1,2
,0,390,DEN,Denmark,2,17,6,6,1849,7,28,1866,5,3,3,1,2,5,5,5,2,5,10
,0,390,DEN,Denmark,-1,4,7,29,1866,6,30,1870,3,4,3,1,2,3,5,5,2,3,10
,0,390,DEN,Denmark,-3,31,7,1,1870,4,15,1901,1,4,3,1,2,3,2,3,2,3,7
,0,390,DEN,Denmark,-88,14,4,16,1901,6,5,1915,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
,0,390,DEN,Denmark,10,25,6,6,1915,4,9,1940,10,0,3,3,4,7,5,5,8,7,10
,0,390,DEN,Denmark,-66,5,4,10,1940,5,5,1945,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66
1,0,390,DEN,Denmark,10,74,5,6,1945,99,99,9999,10,0,3,3,4,7,5,5,8,7,10
,1,522,DJI,Djibouti,-8,15,6,27,1977,9,4,1992,0,8,2,1,4,2,4,1,3,2,1
,1,522,DJI,Djibouti,-7,4,9,5,1992,3,9,1996,0,7,2,1,4,2,4,2,3,2,2
,1,522,DJI,Djibouti,-6,3,3,10,1996,4,9,1999,0,6,2,1,4,2,3,2,3,2,3
,1,522,DJI,Djibouti,1,14,4,10,1999,2,21,2013,3,2,2,2,4,3,3,3,7,3,6
1,1,522,DJI,Djibouti,3,6,2,22,2013,99,99,9999,3,0,2,2,4,4,2,0,7,4,5
,0,42,DOM,Dominican Republic,-3,17,2,27,1844,3,18,1861,1,4,2,1,4,3,3,3,3,3,6
,0,42,DOM,Dominican Republic,-77,4,3,19,1861,5,1,1865,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
,0,42,DOM,Dominican Republic,-3,49,5,2,1865,6,26,1914,1,4,2,1,4,3,3,3,3,3,6
,0,42,DOM,Dominican Republic,-66,10,6,27,1914,12,31,1924,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66
,0,42,DOM,Dominican Republic,-3,5,1,1,1925,2,23,1930,1,4,2,1,4,3,3,3,3,3,6
,0,42,DOM,Dominican Republic,-88,3,2,24,1930,12,2,1932,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
,1,42,DOM,Dominican Republic,-9,28,12,3,1932,5,30,1961,0,9,2,1,4,1,4,1,3,1,1
,1,42,DOM,Dominican Republic,-88,2,5,31,1961,2,26,1963,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
,1,42,DOM,Dominican Republic,8,1,2,27,1963,9,25,1963,8,0,3,3,4,7,2,3,8,7,7
,1,42,DOM,Dominican Republic,-77,3,9,26,1963,6,1,1966,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
,1,42,DOM,Dominican Republic,-3,12,6,2,1966,8,15,1978,1,4,2,1,4,3,3,3,3,3,6
,1,42,DOM,Dominican Republic,5,18,8,16,1978,8,15,1996,5,0,2,2,4,5,2,3,7,5,7
,1,42,DOM,Dominican Republic,8,20,8,16,1996,5,14,2016,8,0,3,3,4,6,2,4,8,6,9
1,1,42,DOM,Dominican Republic,7,3,5,15,2016,99,99,9999,8,1,3,3,4,6,3,4,8,6,8
,0,816,DRV,Vietnam North,-9,6,5,7,1954,1,15,1960,0,9,2,1,4,1,4,1,3,1,1
,0,816,DRV,Vietnam North,-8,10,1,16,1960,9,3,1969,0,8,2,1,4,2,4,1,3,2,1
,0,816,DRV,Vietnam North,-7,7,9,4,1969,7,1,1976,0,7,2,1,4,3,4,1,3,3,1
,1,130,ECU,Ecuador,-1,71,5,13,1830,6,30,1901,1,2,1,0,0,3,3,3,4,3,6
,1,130,ECU,Ecuador,-3,24,7,1,1901,8,20,1925,1,4,2,1,4,3,3,3,3,3,6
,1,130,ECU,Ecuador,-1,23,8,21,1925,8,31,1948,1,2,1,0,0,3,3,3,4,3,6
,1,130,ECU,Ecuador,1,15,9,1,1948,7,11,1963,3,2,2,2,4,3,3,3,7,3,6
,1,130,ECU,Ecuador,-6,3,7,12,1963,3,29,1966,0,6,1,0,0,1,4,2,4,1,2
,1,130,ECU,Ecuador,-88,2,3,30,1966,8,31,1968,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
,1,130,ECU,Ecuador,5,2,9,1,1968,6,21,1970,6,1,3,3,4,5,3,3,8,5,6
,1,130,ECU,Ecuador,0,2,6,22,1970,2,15,1972,4,4,3,3,4,1,3,3,8,1,6
,1,130,ECU,Ecuador,-5,7,2,16,1972,8,9,1979,0,5,1,0,0,1,3,2,4,1,3
,1,130,ECU,Ecuador,9,20,8,10,1979,1,20,2000,9,0,3,3,4,7,2,4,8,7,9
,1,130,ECU,Ecuador,6,7,1,21,2000,11,25,2006,6,0,2,2,4,6,2,3,7,6,7
,1,130,ECU,Ecuador,7,1,11,26,2006,11,28,2007,7,0,3,3,4,6,2,3,8,6,7
,1,130,ECU,Ecuador,5,6,11,29,2007,2,16,2013,5,0,3,3,4,4,2,3,8,4,7
1,1,130,ECU,Ecuador,5,6,2,17,2013,99,99,9999,6,1,3,3,4,4,3,4,8,4,8
,1,651,EGY,Egypt,6,10,10,16,1951,7,23,1952,7,1,3,2,3,7,3,3,6,7,6
,1,651,EGY,Egypt,-7,24,7,24,1952,10,27,1976,0,7,2,1,4,3,4,1,3,3,1
,1,651,EGY,Egypt,-6,29,10,28,1976,2,26,2005,0,6,2,1,4,3,4,2,3,3,2
,1,651,EGY,Egypt,-3,6,2,27,2005,2,11,2011,1,4,2,1,4,3,3,3,3,3,6
,1,651,EGY,Egypt,-2,1,2,12,2011,8,12,2012,0,2,2,0,0,2,2,0,5,2,5
,1,651,EGY,Egypt,-88,1,8,13,2012,7,3,2013,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
1,1,651,EGY,Egypt,-4,5,7,4,2013,99,99,9999,0,4,2,0,0,3,4,2,5,3,2
,1,411,EQG,Equatorial Guinea,2,0,10,12,1968,2,28,1969,3,1,2,2,4,3,2,3,7,3,7
,1,411,EQG,Equatorial Guinea,-7,24,3,1,1969,3,30,1993,0,7,1,0,0,1,4,1,4,1,1
,1,411,EQG,Equatorial Guinea,-5,3,3,31,1993,2,24,1996,0,5,1,0,0,2,4,2,4,2,2
1,1,411,EQG,Equatorial Guinea,-6,23,2,25,1996,99,99,9999,0,6,1,0,0,1,4,2,4,1,2
,0,531,ERI,Eritrea,-6,8,5,24,1993,3,14,2001,0,6,2,1,4,3,4,2,3,3,2
1,0,531,ERI,Eritrea,-7,18,3,15,2001,99,99,9999,0,7,2,1,4,2,4,2,3,2,2
,0,366,EST,Estonia,8,1,4,12,1917,2,24,1918,8,0,3,3,4,7,2,3,8,7,7
,0,366,EST,Estonia,-66,1,2,25,1918,6,15,1919,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66
,0,366,EST,Estonia,10,14,6,16,1919,10,16,1933,10,0,3,3,4,7,5,5,8,7,10
,0,366,EST,Estonia,-88,2,10,17,1933,10,25,1936,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
,0,366,EST,Estonia,-6,4,2,26,1936,6,16,1940,0,6,2,1,4,3,4,2,3,3,2
,1,366,EST,Estonia,6,8,9,6,1991,3,6,1999,7,1,2,2,4,7,3,3,7,7,6
,1,366,EST,Estonia,7,1,3,7,1999,3,13,2000,8,1,3,3,4,7,3,3,8,7,6
1,1,366,EST,Estonia,9,19,3,14,2000,99,99,9999,9,0,3,3,4,7,2,4,8,7,9
,0,530,ETH,Ethiopia,4,76,2,11,1855,11,2,1930,5,1,1,0,0,7,3,3,4,7,6
,0,530,ETH,Ethiopia,-5,5,11,3,1930,10,3,1935,0,5,1,0,0,1,3,2,4,1,3
,0,530,ETH,Ethiopia,-5,6,10,4,1935,1,31,1942,0,5,1,0,0,1,3,2,4,1,3
,0,530,ETH,Ethiopia,-5,4,2,1,1942,6,30,1946,0,5,1,0,0,1,3,2,4,1,3
,0,530,ETH,Ethiopia,-9,28,7,1,1946,9,12,1974,0,9,2,1,4,1,4,1,3,1,1
,0,530,ETH,Ethiopia,-77,1,9,13,1974,3,21,1975,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
,0,530,ETH,Ethiopia,-7,9,3,22,1975,9,10,1984,0,7,2,1,4,3,4,1,3,3,1
,0,530,ETH,Ethiopia,-8,7,9,11,1984,5,24,1991,0,8,2,1,4,2,4,1,3,2,1
